[INFO] [1775873942.274599874] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873943.277376744] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873944.278512028] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873945.277389271] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873946.274642049] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873947.274433569] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873948.278941248] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873949.275590202] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873950.277835557] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873951.278222562] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873952.277385596] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873953.274880936] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873954.277466312] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873955.277741969] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
