[INFO] [1774741113.576893873] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741113.577574240] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741113.578212137] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741113.578843575] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741113.579464230] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741113.580082576] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741113.580687242] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741113.581314764] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741113.582125567] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741113.582792769] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741113.583618436] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741113.584297134] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741113.585067880] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741113.585870600] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741113.586604863] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741113.587339849] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741113.588163478] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741113.589010003] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741113.589847816] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741113.590670871] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741113.591527491] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741113.592383023] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741113.593233935] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741113.594089061] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741113.594945372] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741113.595798915] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741113.596666787] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741113.597504782] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741113.598367174] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741113.599200324] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741113.600023978] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741113.600846422] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
[INFO] [1774741118.577747193] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741118.578557050] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741118.579236588] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741118.579936166] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741118.580622400] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741118.581358119] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741118.582060783] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741118.582756509] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741118.583650224] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741118.584606551] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741118.585535662] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741118.586383551] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741118.588161049] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741118.588920340] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741118.589465904] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741118.591690544] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741118.592435220] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741118.593148659] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741118.593853086] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741118.594546511] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741118.595224701] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741118.595915846] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741118.596582566] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741118.597253364] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741118.597953112] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741118.598702944] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741118.599449197] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741118.600186918] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741118.600887371] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741118.601788066] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741118.602707483] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741118.603541089] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
[INFO] [1774741123.578198487] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741123.578955480] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741123.579697230] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741123.580265989] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741123.580824703] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741123.581556605] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741123.582441860] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741123.583164137] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741123.583833503] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741123.584515689] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741123.585148005] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741123.585807013] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741123.586499696] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741123.587290945] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741123.587995161] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741123.588640385] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741123.589249466] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741123.589933381] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741123.590654290] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741123.591309631] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741123.592158899] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741123.592954980] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741123.593822403] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741123.594633881] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741123.595373552] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741123.596131423] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741123.597008354] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741123.597778651] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741123.598700720] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741123.600554711] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741123.601044442] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741123.601544516] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
[INFO] [1774741128.578217996] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741128.579065816] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741128.579869709] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741128.580799854] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741128.581572073] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741128.582329491] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741128.583119500] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741128.583897847] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741128.584821327] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741128.585653027] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741128.586371821] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741128.586978458] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741128.587607470] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741128.588225743] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741128.588902367] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741128.589576470] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741128.590436230] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741128.591343606] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741128.592291639] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741128.592956779] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741128.593609735] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741128.594302565] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741128.594974389] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741128.595696319] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741128.596383524] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741128.597132031] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741128.598026797] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741128.598900688] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741128.599811543] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741128.600659720] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741128.601509505] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741128.602334557] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
[INFO] [1774741133.580545372] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741133.581462884] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741133.582632417] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741133.583520002] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741133.584433843] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741133.585416044] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741133.586497332] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741133.587647519] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741133.588764689] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741133.589636480] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741133.590238379] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741133.590856845] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741133.591525690] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741133.592149292] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741133.592728265] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741133.593719258] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741133.594651151] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741133.595464760] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741133.596340007] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741133.597366546] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741133.598475645] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741133.600290135] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741133.601521828] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741133.603100790] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741133.604131606] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741133.604972900] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741133.605802156] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741133.607354846] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741133.608868732] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741133.610313289] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741133.611816104] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741133.613083426] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
[INFO] [1774741138.579969212] [serial_manager]: New device detected: /dev/ttyS9 (n/a)
[INFO] [1774741138.580891876] [serial_manager]: New device detected: /dev/ttyS8 (n/a)
[INFO] [1774741138.581989553] [serial_manager]: New device detected: /dev/ttyS7 (n/a)
[INFO] [1774741138.582973635] [serial_manager]: New device detected: /dev/ttyS6 (n/a)
[INFO] [1774741138.583736362] [serial_manager]: New device detected: /dev/ttyS5 (n/a)
[INFO] [1774741138.584404272] [serial_manager]: New device detected: /dev/ttyS4 (n/a)
[INFO] [1774741138.585086026] [serial_manager]: New device detected: /dev/ttyS31 (n/a)
[INFO] [1774741138.585955166] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741138.586698690] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741138.587358071] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741138.588187709] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741138.589207096] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741138.590118660] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741138.591231782] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
