[INFO] [1774742762.226323317] [serial_manager]: Starting Serial Manager Node
[INFO] [1774742768.262145157] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742768.262758729] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742768.263332698] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.235937714] [serial_manager]: Excluding port /dev/ttyS9 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.236599282] [serial_manager]: Excluding port /dev/ttyS7 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.237088114] [serial_manager]: Excluding port /dev/ttyS5 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.237605700] [serial_manager]: Excluding port /dev/ttyS31 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.238127445] [serial_manager]: Excluding port /dev/ttyS3 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.238660982] [serial_manager]: Excluding port /dev/ttyS28 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.239153569] [serial_manager]: Excluding port /dev/ttyS26 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.239671804] [serial_manager]: Excluding port /dev/ttyS24 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.240168164] [serial_manager]: Excluding port /dev/ttyS22 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.240692939] [serial_manager]: Excluding port /dev/ttyS20 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.241165750] [serial_manager]: Excluding port /dev/ttyS19 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742771.241678137] [serial_manager]: Excluding port /dev/ttyS17 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
